
['SSID: donttry', 'cipher: CCMP']
['SSID: Caribou', 'SSID: THEOneTRN']
['SSID: Paris', 'cipher: TKIP']
['SSID: LM-INTRA', 'cipher: TKIP']
['SSID: ', 'cipher: CCMP']
['cipher: TKIP', 'cipher: TKIP']
['SSID: RG-POS', 'cipher: TKIP']
['SSID: Cafe', 'cipher: TKIP']
['SSID: ', 'cipher: CCMP']
['SSID: Virus', 'cipher: CCMP']
['SSID: Customer2', 'cipher: CCMP']
